method,n_simul,n_pc,t_max,n_grid,time,lag,error_fro,rel_error_fro,error_nuc,rel_error_nuc,error_sup,rel_error_sup
CKL,1000,10,1000,1001,0.831517477035521,1,0.0176840676654847,0.0128387992568957,0.0995652119217866,0.0414716379604691,0.107824242875259,0.0346229762080024
CKL,1000,10,1000,1001,0.831517477035521,2,0.0132416697237951,0.00961357661742801,0.0672026386984972,0.02799173976832,0.0729761349603599,0.02343305101996
CKL,1000,10,1000,1001,0.831517477035521,3,0.010951391498711,0.00795081311015619,0.0475259103080948,0.0197958434275953,0.0538477597436102,0.0172908211988478
CKL,1000,10,1000,1001,0.831517477035521,5,0.00851681798635716,0.00618328986875436,0.026541428445485,0.011055231944964,0.029385433446409,0.00943582941967781
CKL,1000,10,1000,1001,0.831517477035521,10,0.00565120379719767,0.00410282704660975,0.0124630273138164,0.0051911922515271,0.0131161824940935,0.00421168062323596
CKL,1000,10,1000,1001,0.831517477035521,20,0.00895298160424092,0.00649994875284699,0.01696369054557,0.00706584176541455,0.0222887462068194,0.00715704287873078
CKL,1000,10,1000,1001,0.831517477035521,30,0.00765789519428489,0.00555970385261898,0.0138886719981449,0.0057850123124454,0.0209567382157216,0.00672932755465468
CKL,1000,10,1000,1001,0.831517477035521,40,0.0039914785065859,0.00289785089345085,0.008650705006415,0.00360325558700847,0.0110745431509644,0.00355609864540321
CKL,1000,10,1000,1001,0.831517477035521,60,0.00361672165862406,0.0026257739012032,0.00693461915097316,0.00288845882283473,0.00985078734267186,0.0031631437114749
CKL,1000,10,1000,1001,0.831517477035521,80,0.00588972446996269,0.00427599529580316,0.00985047624931696,0.00410299317266337,0.0169125871284035,0.00543072769302832
CKL,1000,10,1000,1001,0.831517477035521,100,0.00666420124766639,0.00483827271218471,0.0107431507023474,0.00447481653363526,0.0207270141175864,0.00665556184323357
CKL,1000,5,1000,1001,0.501708684206008,0,0.0593671136090646,0.0431010822004344,0.27131317052993,0.113009367076556,0.279403466777224,0.0897180385848172
CKL,1000,5,1000,1001,0.501708684206008,1,0.0383944792917604,0.0278747526601052,0.175073065096322,0.0729227270465497,0.184753586600241,0.0593254249937423
CKL,1000,5,1000,1001,0.501708684206008,2,0.025256931402899,0.0183367694730045,0.113203762333744,0.0471524677811762,0.121263785923718,0.0389384897400707
CKL,1000,5,1000,1001,0.501708684206008,3,0.0178051180099675,0.0129266829441893,0.0765463028582566,0.0318836318235707,0.0865548343625679,0.027793248446824
CKL,1000,5,1000,1001,0.501708684206008,5,0.0108826446945773,0.00790090228451796,0.0394933990216777,0.016450082457937,0.0467146612573098,0.0150003427999757
CKL,1000,5,1000,1001,0.501708684206008,10,0.00961767792318347,0.006982524524843,0.0241578508395855,0.0100624065834291,0.0273922622475357,0.00879581083798552
CKL,1000,5,1000,1001,0.501708684206008,20,0.00383925789749981,0.00278733730122834,0.0110751506878705,0.00461310362143169,0.0304443848061207,0.00977586471002661
CKL,1000,5,1000,1001,0.501708684206008,30,0.00530445820980145,0.00385108649268259,0.00963653054098202,0.00401387892494568,0.0161982251123794,0.00520134199622062
CKL,1000,5,1000,1001,0.501708684206008,40,0.00742553741827315,0.00539100992436535,0.0110884942926597,0.00461866159832164,0.0192837234508754,0.00619211302057334
CKL,1000,5,1000,1001,0.501708684206008,60,0.00290246906605421,0.00210721980900078,0.00578661444014647,0.00241028341572851,0.0085904632032003,0.00275844647890748
CKL,1000,5,1000,1001,0.501708684206008,80,0.00412935943736265,0.00299795374450766,0.0067275601560748,0.00280221307989764,0.0108197312100945,0.00347427708532548
CKL,1000,5,1000,1001,0.501708684206008,100,0.0100803974065022,0.00731846321671868,0.0139862679317315,0.00582566369203865,0.0212512394972794,0.0068238935872342
CKL,1000,3,1000,1001,0.372033851861954,0,0.113558686810994,0.0824446734440314,0.423622445066332,0.176450351830923,0.446991656658577,0.143531557291524
CKL,1000,3,1000,1001,0.372033851861954,1,0.0732644043398898,0.0531906458281526,0.269814800240895,0.112385254809247,0.296169507693953,0.0951017094577382
CKL,1000,3,1000,1001,0.372033851861954,2,0.0484328032620692,0.0351626701668915,0.173173218290207,0.0721313888130163,0.197900435684655,0.0635469528331397
CKL,1000,3,1000,1001,0.372033851861954,3,0.03390977485985,0.0246188151112918,0.117712845904284,0.0490306245968099,0.14329534383438,0.0460129479975569
CKL,1000,3,1000,1001,0.372033851861954,5,0.022232743205983,0.016141180431516,0.0674550346234832,0.0280968695844644,0.0817736169496826,0.0262579724057659
CKL,1000,3,1000,1001,0.372033851861954,10,0.0154005801056486,0.0111809658363883,0.0351846140382326,0.0146553554902154,0.0787964775278373,0.0253019960444044
